Student_ID,College,Major,Class_Year,GPA,Credits_Attempted,Credits_Earned
LU100444,College of Arts and Sciences,Physics,Senior,2.99,121,105
LU100445,College of Arts and Sciences,Philosophy,Junior,3.12,79,70
LU100446,P.C. Rossin College of Engineering,Industrial Engineering,Senior,3.09,118,107
LU100447,College of Education,Elementary Education,Junior,2.84,89,84
LU100448,P.C. Rossin College of Engineering,Civil Engineering,Junior,3.54,76,66
LU100449,College of Health,Health Science,Graduate,3.93,15,14
LU100450,College of Education,Special Education,Senior,3.26,115,109
LU100451,College of Health,Community Health,Junior,3.4,79,70
LU100452,College of Arts and Sciences,English,Junior,3.36,77,74
LU100453,College of Education,Special Education,Senior,2.92,120,104
LU100454,College of Education,Secondary Education,Junior,3.32,73,70
LU100455,College of Health,Public Health,Graduate,4.0,33,29
LU100456,College of Business,Supply Chain Management,Sophomore,3.76,44,40
LU100457,College of Business,Economics,Senior,3.56,124,111
LU100458,College of Education,Special Education,Junior,4.0,76,73
LU100459,P.C. Rossin College of Engineering,Computer Science,Junior,2.71,77,69
LU100460,College of Arts and Sciences,Mathematics,Junior,3.18,88,87
LU100461,College of Business,Finance,Graduate,3.75,17,16
LU100462,P.C. Rossin College of Engineering,Civil Engineering,Sophomore,2.11,52,50
LU100463,College of Health,Community Health,First Year,2.53,24,22
LU100464,College of Business,Supply Chain Management,Junior,2.83,80,76
LU100465,College of Arts and Sciences,Sociology,Graduate,3.59,33,32
LU100466,College of Business,Management,Graduate,3.62,29,27
LU100467,College of Arts and Sciences,Chemistry,Senior,2.56,128,112
LU100468,College of Arts and Sciences,Physics,Senior,4.0,112,104
LU100469,P.C. Rossin College of Engineering,Bioengineering,Senior,3.93,103,89
LU100470,College of Health,Health Science,First Year,2.47,17,15
LU100471,College of Business,Supply Chain Management,First Year,2.98,21,18
LU100472,College of Arts and Sciences,Chemistry,Senior,3.2,110,94
LU100473,P.C. Rossin College of Engineering,Computer Science,Sophomore,2.94,49,44
LU100474,College of Business,Management,First Year,3.97,18,16
LU100475,P.C. Rossin College of Engineering,Electrical Engineering,Junior,3.25,82,79
LU100476,College of Health,Public Health,Junior,3.32,79,71
LU100477,College of Business,Accounting,Sophomore,3.4,46,43
LU100478,P.C. Rossin College of Engineering,Mechanical Engineering,Junior,3.13,72,67
LU100479,P.C. Rossin College of Engineering,Bioengineering,Sophomore,3.39,55,51
LU100480,College of Health,Public Health,First Year,4.0,15,13
LU100481,College of Business,Business Analytics,Senior,3.15,127,110
LU100482,College of Arts and Sciences,Chemistry,Sophomore,3.63,51,49
LU100483,College of Business,Economics,Senior,3.59,121,112
LU100484,College of Health,Nursing,Senior,3.21,127,125
LU100485,P.C. Rossin College of Engineering,Bioengineering,Sophomore,3.24,44,40
LU100486,College of Business,Marketing,Graduate,4.0,13,11
LU100487,College of Education,Secondary Education,Sophomore,2.85,44,37
LU100488,College of Business,Accounting,Sophomore,2.43,43,42
LU100489,College of Health,Nursing,Senior,2.99,124,112
LU100490,College of Education,Special Education,Junior,3.3,80,69
LU100491,College of Business,Business Analytics,Graduate,3.77,19,17
LU100492,College of Business,Marketing,Senior,3.36,125,124
LU100493,P.C. Rossin College of Engineering,Computer Science,Sophomore,3.42,43,38
LU100494,P.C. Rossin College of Engineering,Mechanical Engineering,First Year,2.96,16,15
LU100495,P.C. Rossin College of Engineering,Bioengineering,Graduate,3.08,32,28
LU100496,College of Arts and Sciences,Psychology,Senior,3.3,129,114
LU100497,College of Business,Economics,Graduate,3.44,25,21
LU100498,College of Education,Special Education,First Year,3.65,26,24
LU100499,College of Business,Supply Chain Management,Graduate,3.69,33,28
LU100500,College of Education,Special Education,Senior,3.6,109,104
LU100501,College of Business,Accounting,Graduate,3.69,20,18
LU100502,P.C. Rossin College of Engineering,Civil Engineering,Graduate,3.61,36,30
LU100503,College of Health,Public Health,Sophomore,2.51,50,48
LU100504,College of Education,Secondary Education,First Year,3.58,13,11
LU100505,College of Education,Elementary Education,Graduate,3.9,18,17
LU100506,College of Arts and Sciences,Physics,First Year,3.38,26,22
LU100507,P.C. Rossin College of Engineering,Chemical Engineering,Junior,3.09,86,77
LU100508,College of Health,Public Health,Senior,3.93,119,114
LU100509,P.C. Rossin College of Engineering,Civil Engineering,First Year,2.73,23,21
LU100510,College of Business,Marketing,First Year,3.33,24,23
LU100511,College of Arts and Sciences,Chemistry,First Year,3.72,13,12
LU100512,P.C. Rossin College of Engineering,Chemical Engineering,First Year,3.03,19,18
LU100513,College of Education,Secondary Education,Senior,2.65,104,97
LU100514,College of Education,Elementary Education,Senior,4.0,114,98
LU100515,College of Education,Elementary Education,Junior,3.62,80,78
LU100516,College of Health,Nursing,Sophomore,3.12,50,44
LU100517,P.C. Rossin College of Engineering,Civil Engineering,Senior,3.2,107,98
LU100518,College of Arts and Sciences,Political Science,First Year,2.92,23,22
LU100519,P.C. Rossin College of Engineering,Bioengineering,Sophomore,3.18,47,45
LU100520,College of Arts and Sciences,Philosophy,First Year,3.4,22,19
LU100521,P.C. Rossin College of Engineering,Industrial Engineering,Sophomore,3.6,47,40
LU100522,College of Health,Community Health,Junior,3.41,89,78
LU100523,College of Health,Health Science,Senior,3.44,128,123
LU100524,P.C. Rossin College of Engineering,Civil Engineering,First Year,3.17,24,21
LU100525,College of Business,Business Analytics,Junior,3.45,74,65
LU100526,College of Health,Public Health,First Year,2.98,22,19
LU100527,College of Health,Health Science,First Year,2.1,24,22
LU100528,College of Health,Community Health,First Year,2.6,18,17
LU100529,College of Arts and Sciences,Mathematics,Junior,3.67,79,74
LU100530,College of Health,Community Health,Graduate,3.93,24,20
LU100531,College of Arts and Sciences,Political Science,First Year,3.49,28,24
LU100532,College of Education,Elementary Education,Graduate,4.0,34,32
LU100533,College of Health,Community Health,Sophomore,2.8,50,43
LU100534,College of Arts and Sciences,Philosophy,First Year,2.89,20,17
LU100535,College of Health,Nursing,Senior,4.0,105,93
LU100536,P.C. Rossin College of Engineering,Chemical Engineering,Junior,3.3,73,70
LU100537,P.C. Rossin College of Engineering,Computer Engineering,Sophomore,3.71,47,41
LU100538,College of Arts and Sciences,Physics,Graduate,3.11,9,8
LU100539,College of Arts and Sciences,Philosophy,Junior,3.03,87,81
LU100540,P.C. Rossin College of Engineering,Bioengineering,First Year,2.95,13,11
LU100541,P.C. Rossin College of Engineering,Computer Science,Junior,4.0,78,75
LU100542,College of Arts and Sciences,Psychology,Graduate,3.6,36,35
LU100543,College of Business,Accounting,First Year,3.01,15,14
LU100544,College of Arts and Sciences,Chemistry,Sophomore,2.93,54,50
LU100545,College of Arts and Sciences,Mathematics,Sophomore,4.0,55,53
LU100546,College of Health,Nursing,First Year,2.95,29,27
LU100547,College of Education,Secondary Education,Sophomore,2.94,51,48
LU100548,College of Arts and Sciences,Psychology,First Year,2.9,12,11
LU100549,College of Education,Secondary Education,Graduate,3.65,14,13
LU100550,College of Education,Elementary Education,Senior,2.89,105,104
LU100551,P.C. Rossin College of Engineering,Industrial Engineering,Senior,3.49,107,101
LU100552,College of Business,Economics,Senior,4.0,122,117
LU100553,College of Arts and Sciences,Sociology,First Year,3.33,23,20
LU100554,College of Business,Management,First Year,3.99,24,21
LU100555,College of Health,Public Health,Graduate,3.31,26,23
LU100556,College of Health,Public Health,First Year,3.13,14,13
LU100557,College of Business,Marketing,First Year,3.08,22,19
LU100558,College of Health,Public Health,Senior,3.59,119,117
LU100559,College of Business,Marketing,Junior,2.91,72,65
LU100560,P.C. Rossin College of Engineering,Computer Engineering,First Year,2.65,15,13
LU100561,P.C. Rossin College of Engineering,Computer Engineering,Senior,3.29,110,104
LU100562,College of Arts and Sciences,English,First Year,2.14,24,22
LU100563,College of Health,Public Health,First Year,3.36,27,23
LU100564,College of Business,Finance,First Year,3.11,21,20
LU100565,College of Health,Health Science,Sophomore,2.74,50,43
LU100566,College of Education,Secondary Education,First Year,3.52,24,21
LU100567,College of Health,Health Science,Sophomore,2.85,50,46
LU100568,P.C. Rossin College of Engineering,Mechanical Engineering,First Year,3.19,23,22
LU100569,College of Health,Public Health,Junior,3.75,85,84
LU100570,College of Health,Public Health,Junior,2.6,74,67
LU100571,College of Business,Business Analytics,Junior,2.72,76,65
LU100572,College of Health,Public Health,Graduate,3.56,14,13
LU100573,P.C. Rossin College of Engineering,Civil Engineering,First Year,3.9,18,17
LU100574,P.C. Rossin College of Engineering,Chemical Engineering,Sophomore,3.56,44,37
LU100575,College of Education,Secondary Education,Junior,3.64,72,69
LU100576,College of Education,Special Education,Junior,2.87,85,73
LU100577,P.C. Rossin College of Engineering,Civil Engineering,Junior,2.29,75,74
LU100578,College of Education,Elementary Education,Senior,2.89,129,120
LU100579,College of Arts and Sciences,Political Science,Sophomore,2.83,57,48
LU100580,College of Arts and Sciences,Political Science,First Year,2.45,24,20
LU100581,College of Arts and Sciences,English,First Year,2.63,23,19
LU100582,College of Arts and Sciences,Mathematics,Sophomore,3.26,57,55
LU100583,College of Business,Economics,Sophomore,2.94,52,46
LU100584,College of Health,Health Science,First Year,4.0,18,17
LU100585,College of Health,Community Health,Senior,3.9,118,114
LU100586,College of Business,Marketing,Senior,2.85,114,99
LU100587,College of Education,Special Education,First Year,3.5,13,11
LU100588,College of Health,Health Science,Graduate,4.0,31,27
LU100589,College of Arts and Sciences,Sociology,Junior,3.15,72,63
LU100590,College of Health,Community Health,First Year,2.87,27,25
LU100591,College of Arts and Sciences,Physics,First Year,3.89,14,12
LU100592,College of Health,Health Science,First Year,2.49,30,29
LU100593,P.C. Rossin College of Engineering,Electrical Engineering,Senior,3.26,115,106
LU100594,College of Business,Supply Chain Management,Graduate,3.39,29,25
LU100595,College of Business,Finance,Sophomore,3.34,50,45
LU100596,College of Health,Nursing,Junior,2.94,78,71
LU100597,College of Education,Special Education,Sophomore,3.68,53,49
LU100598,College of Education,Special Education,Sophomore,3.56,45,41
LU100599,College of Arts and Sciences,Mathematics,Senior,3.6,124,123
LU100600,College of Arts and Sciences,English,First Year,2.74,19,18
